Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
PICHINCHA;-0,21882160;-78,51354890;17;HOMBRE;SIN_DATO;SIN_DATO;24/01/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,26909023;-78,54001523;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;02/02/2023;ENCONTRADO;07/02/2023
SANTO DOMINGO DE LOS TSACHILAS;0,00916720;-79,39160500;39;HOMBRE;SIN_DATO;SIN_DATO;01/02/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,17504166;-78,47478184;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/03/2023;ENCONTRADO;17/03/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25194870;-79,16986310;20;HOMBRE;SIN_DATO;SIN_DATO;24/02/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,98738570;-79,65649069;28;HOMBRE;SIN_DATO;SIN_DATO;07/02/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,28248943;-79,87366394;2;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/05/2023;ENCONTRADO;16/05/2023
SUCUMBIOS;0,09009996;-76,88715163;24;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/05/2023;ENCONTRADO;16/05/2023
GUAYAS;-2,12252930;-80,00013500;28;HOMBRE;FALLECIDO;NO DETERMINADA;15/03/2023;FALLECIDO;24/03/2023
ORELLANA;-0,30136260;-76,85710630;4;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/05/2023;ENCONTRADO;13/06/2023
LOJA;-3,99508483;-79,20476317;9;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/01/2023;ENCONTRADO;13/06/2023
PICHINCHA;-0,14064539;-78,47808482;22;HOMBRE;SIN_DATO;SIN_DATO;15/03/2023;DESAPARECIDO;SIN_DATO
CHIMBORAZO;-1,68180390;-78,63154986;24;MUJER;SIN_DATO;SIN_DATO;03/05/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,12586840;-79,92274520;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;02/03/2023;ENCONTRADO;20/03/2023
CHIMBORAZO;-1,66044110;-78,65638550;12;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;09/02/2023;ENCONTRADO;09/02/2023
