"provincia","latitud","longitud","edad","sexo","motivo_desaparicion","motivo_desaparicion_obs","fecha_desaparicion","situacion_actual","fecha_localizacion","year","month","day","days_gone","age_group"
"PICHINCHA",-0.2188216,-78.5135489,17,"HOMBRE","SIN_DATO","SIN_DATO",2023-01-24,"DESAPARECIDO",NA,2023,1,24,NA,"13-17"
"PICHINCHA",-0.26909023,-78.54001523,17,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-02-02,"ENCONTRADO",2023-02-07,2023,2,2,5,"13-17"
"SANTO DOMINGO DE LOS TSACHILAS",0.0091672,-79.391605,39,"HOMBRE","SIN_DATO","SIN_DATO",2023-02-01,"DESAPARECIDO",NA,2023,2,1,NA,"36-64"
"PICHINCHA",-0.17504166,-78.47478184,14,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-16,"ENCONTRADO",2023-03-17,2023,3,16,1,"13-17"
"SANTO DOMINGO DE LOS TSACHILAS",-0.2519487,-79.1698631,20,"HOMBRE","SIN_DATO","SIN_DATO",2023-02-24,"DESAPARECIDO",NA,2023,2,24,NA,"18-35"
"ESMERALDAS",0.9873857,-79.65649069,28,"HOMBRE","SIN_DATO","SIN_DATO",2023-02-07,"DESAPARECIDO",NA,2023,2,7,NA,"18-35"
"GUAYAS",-2.28248943,-79.87366394,2,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-05-13,"ENCONTRADO",2023-05-16,2023,5,13,3,"12 o menos"
"SUCUMBIOS",0.09009996,-76.88715163,24,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-05-15,"ENCONTRADO",2023-05-16,2023,5,15,1,"18-35"
"GUAYAS",-2.1225293,-80.000135,28,"HOMBRE","FALLECIDO","NO DETERMINADA",2023-03-15,"FALLECIDO",2023-03-24,2023,3,15,9,"18-35"
"ORELLANA",-0.3013626,-76.8571063,4,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-05-16,"ENCONTRADO",2023-06-13,2023,5,16,28,"12 o menos"
"LOJA",-3.99508483,-79.20476317,9,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-13,"ENCONTRADO",2023-06-13,2023,1,13,151,"12 o menos"
"PICHINCHA",-0.14064539,-78.47808482,22,"HOMBRE","SIN_DATO","SIN_DATO",2023-03-15,"DESAPARECIDO",NA,2023,3,15,NA,"18-35"
"CHIMBORAZO",-1.6818039,-78.63154986,24,"MUJER","SIN_DATO","SIN_DATO",2023-05-03,"DESAPARECIDO",NA,2023,5,3,NA,"18-35"
"GUAYAS",-2.1258684,-79.9227452,16,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-03-02,"ENCONTRADO",2023-03-20,2023,3,2,18,"13-17"
