index,latitud,longitud,provincia,edad,sexo,motivo_desaparicion,motivo_desaparicion_obs,fecha_desaparicion,situacion_actual,fecha_localizacion,year,month,day,days_gone,age_group,parishId,cantonId,provinceId
0,-4.06805346,-78.95132173,ZAMORA CHINCHIPE,16,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-08-28,ENCONTRADO,2023-09-05,2023,8,28,8,13-17,190150,1901,19
1,-0.2188216,-78.5135489,PICHINCHA,17,HOMBRE,SIN_DATO,SIN_DATO,2023-01-24,DESAPARECIDO,NA,2023,1,24,NA,13-17,170150,1701,17
2,-0.26909023,-78.54001523,PICHINCHA,17,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-02-02,ENCONTRADO,2023-02-07,2023,2,2,5,13-17,170150,1701,17
3,0.0091672,-79.391605,SANTO DOMINGO DE LOS TSACHILAS,39,HOMBRE,SIN_DATO,SIN_DATO,2023-02-01,DESAPARECIDO,NA,2023,2,1,NA,36-64,080850,0808,08
4,-0.17504166,-78.47478184,PICHINCHA,14,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-16,ENCONTRADO,2023-03-17,2023,3,16,1,13-17,170150,1701,17
5,-0.0712455,-78.4316487,PICHINCHA,15,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-08-16,ENCONTRADO,2023-08-17,2023,8,16,1,13-17,170155,1701,17
6,0.9873857,-79.65649069,ESMERALDAS,28,HOMBRE,SIN_DATO,SIN_DATO,2023-02-07,DESAPARECIDO,NA,2023,2,7,NA,18-35,080150,0801,08
7,-3.55450221,-80.06994042,EL ORO,3,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-07-17,ENCONTRADO,2023-08-01,2023,7,17,15,12 o menos,070250,0702,07
8,-2.28248943,-79.87366394,GUAYAS,2,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-13,ENCONTRADO,2023-05-16,2023,5,13,3,12 o menos,090150,0901,09
9,-3.55450221,-80.06994042,EL ORO,4,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-07-17,ENCONTRADO,2023-08-01,2023,7,17,15,12 o menos,070250,0702,07
